run_id,platform_id,workload,scenario,run_kind,repetition,planned_split,purpose,profile,duration_seconds,sampling_hz,warmup_seconds,interruption_seconds,status,replacement_for,start_utc,end_utc,valid_rows,benign_hours,exclusion_reason,notes
m2_macos__py_stats__v3_independent_confirmation__f0,M2_MACOS,PY_STATS,NOMINAL,v3_independent_confirmation,301,development,production,enriched,3900,5.0,0,0,planned,,,,,,,preassigned fold 0; frozen v3 confirmation only; never fit or tune
m2_macos__py_stats__v3_independent_confirmation__f1,M2_MACOS,PY_STATS,NOMINAL,v3_independent_confirmation,302,development,production,enriched,3900,5.0,0,0,planned,,,,,,,preassigned fold 1; frozen v3 confirmation only; never fit or tune
m2_macos__py_ai__v3_independent_confirmation__f0,M2_MACOS,PY_AI,NOMINAL,v3_independent_confirmation,301,development,production,enriched,3900,5.0,0,0,planned,,,,,,,preassigned fold 0; frozen v3 confirmation only; never fit or tune
m2_macos__py_ai__v3_independent_confirmation__f1,M2_MACOS,PY_AI,NOMINAL,v3_independent_confirmation,302,development,production,enriched,3900,5.0,0,0,planned,,,,,,,preassigned fold 1; frozen v3 confirmation only; never fit or tune
m2_macos__browser__v3_independent_confirmation__f0,M2_MACOS,BROWSER,NOMINAL,v3_independent_confirmation,301,development,production,enriched,3900,5.0,0,0,planned,,,,,,,preassigned fold 0; frozen v3 confirmation only; never fit or tune
m2_macos__browser__v3_independent_confirmation__f1,M2_MACOS,BROWSER,NOMINAL,v3_independent_confirmation,302,development,production,enriched,3900,5.0,0,0,planned,,,,,,,preassigned fold 1; frozen v3 confirmation only; never fit or tune
m2_macos__video_sw__v3_independent_confirmation__f0,M2_MACOS,VIDEO_SW,NOMINAL,v3_independent_confirmation,301,development,production,enriched,3900,5.0,0,0,planned,,,,,,,preassigned fold 0; frozen v3 confirmation only; never fit or tune
m2_macos__video_sw__v3_independent_confirmation__f1,M2_MACOS,VIDEO_SW,NOMINAL,v3_independent_confirmation,302,development,production,enriched,3900,5.0,0,0,planned,,,,,,,preassigned fold 1; frozen v3 confirmation only; never fit or tune
epyc_linux__py_stats__v3_independent_confirmation__f0,EPYC_LINUX,PY_STATS,NOMINAL,v3_independent_confirmation,301,development,production,enriched,3900,5.0,0,0,planned,,,,,,,preassigned fold 0; frozen v3 confirmation only; never fit or tune
epyc_linux__py_stats__v3_independent_confirmation__f1,EPYC_LINUX,PY_STATS,NOMINAL,v3_independent_confirmation,302,development,production,enriched,3900,5.0,0,0,planned,,,,,,,preassigned fold 1; frozen v3 confirmation only; never fit or tune
epyc_linux__py_ai__v3_independent_confirmation__f0,EPYC_LINUX,PY_AI,NOMINAL,v3_independent_confirmation,301,development,production,enriched,3900,5.0,0,0,planned,,,,,,,preassigned fold 0; frozen v3 confirmation only; never fit or tune
epyc_linux__py_ai__v3_independent_confirmation__f1,EPYC_LINUX,PY_AI,NOMINAL,v3_independent_confirmation,302,development,production,enriched,3900,5.0,0,0,planned,,,,,,,preassigned fold 1; frozen v3 confirmation only; never fit or tune
epyc_linux__browser__v3_independent_confirmation__f0,EPYC_LINUX,BROWSER,NOMINAL,v3_independent_confirmation,301,development,production,enriched,3900,5.0,0,0,planned,,,,,,,preassigned fold 0; frozen v3 confirmation only; never fit or tune
epyc_linux__browser__v3_independent_confirmation__f1,EPYC_LINUX,BROWSER,NOMINAL,v3_independent_confirmation,302,development,production,enriched,3900,5.0,0,0,planned,,,,,,,preassigned fold 1; frozen v3 confirmation only; never fit or tune
epyc_linux__video_sw__v3_independent_confirmation__f0,EPYC_LINUX,VIDEO_SW,NOMINAL,v3_independent_confirmation,301,development,production,enriched,3900,5.0,0,0,planned,,,,,,,preassigned fold 0; frozen v3 confirmation only; never fit or tune
epyc_linux__video_sw__v3_independent_confirmation__f1,EPYC_LINUX,VIDEO_SW,NOMINAL,v3_independent_confirmation,302,development,production,enriched,3900,5.0,0,0,planned,,,,,,,preassigned fold 1; frozen v3 confirmation only; never fit or tune
